Path,File,Date Acquired,Sample,Misc
C:\Data\2020\20200807_2DGC_JLOpt\,22TS51.D, 9 Sep 2020  11:45    , , 
Signal: 22TS51.D\FID1A.ch,,,,
0.1,20901,,,
0.1,20968,,,
0.1,20984,,,
0.1,20897,,,
0.1,20928,,,
0.1,20893,,,
0.1,20862,,,
0.1,20918,,,
0.1,20919,,,
0.101,20912,,,
0.101,20889,,,
0.101,21034,,,
0.101,20982,,,
0.101,21087,,,
0.101,21051,,,
0.101,21029,,,
0.101,21038,,,
0.101,21153,,,
0.101,21259,,,
0.101,21197,,,
0.101,21221,,,
0.102,21199,,,
0.102,21093,,,
0.102,21122,,,
0.102,21171,,,
0.102,21158,,,
0.102,21112,,,
0.102,21247,,,
0.102,21320,,,
0.102,21256,,,
0.102,21154,,,
0.102,21154,,,
0.102,21129,,,
0.103,21155,,,
0.103,21192,,,
0.103,21181,,,
0.103,21172,,,
0.103,21205,,,
0.103,21143,,,
0.103,21050,,,
0.103,20989,,,
0.103,21009,,,
0.103,20979,,,
0.103,21045,,,
0.103,20974,,,
0.104,20895,,,
0.104,20859,,,
0.104,20921,,,
0.104,20783,,,
0.104,20693,,,
0.104,20683,,,
0.104,20761,,,
0.104,20722,,,
0.104,20673,,,
0.104,20665,,,
0.104,20525,,,
0.104,20602,,,
0.105,20701,,,
0.105,20813,,,
0.105,20768,,,
0.105,20660,,,
0.105,20684,,,
0.105,20615,,,
0.105,20689,,,
0.105,20600,,,
0.105,20626,,,
0.105,20661,,,
0.105,20683,,,
0.105,20740,,,
0.106,20579,,,
0.106,20557,,,
0.106,20484,,,
0.106,20498,,,
0.106,20416,,,
0.106,20340,,,
0.106,20345,,,
0.106,20325,,,
0.106,20478,,,
0.106,20477,,,
0.106,20478,,,
0.106,20435,,,
0.107,20422,,,
0.107,20366,,,
0.107,20274,,,
0.107,20414,,,
0.107,20430,,,
0.107,20450,,,
0.107,20407,,,
0.107,20411,,,
0.107,20318,,,
0.107,20281,,,
0.107,20374,,,
0.107,20335,,,
0.108,20406,,,
0.108,20397,,,
0.108,20338,,,
0.108,20233,,,
0.108,20244,,,
0.108,20313,,,
0.108,20213,,,
0.108,20241,,,
0.108,20238,,,
0.108,20180,,,
0.108,20156,,,
0.108,20148,,,
0.109,20171,,,
0.109,20084,,,
0.109,20165,,,
0.109,20141,,,
0.109,20116,,,
0.109,20114,,,
0.109,20128,,,
0.109,20098,,,
0.109,20062,,,
0.109,20158,,,
0.109,20062,,,
0.109,20081,,,
0.11,20131,,,
0.11,20233,,,
0.11,20149,,,
0.11,20088,,,
0.11,20174,,,
0.11,20122,,,
0.11,20150,,,
0.11,20070,,,
0.11,20038,,,
0.11,19966,,,
0.11,19967,,,
0.11,20022,,,
0.111,19914,,,
0.111,19967,,,
0.111,19919,,,
0.111,19871,,,
0.111,19835,,,
0.111,19875,,,
0.111,19913,,,
0.111,19819,,,
0.111,19857,,,
0.111,19853,,,
0.111,19841,,,
0.111,19849,,,
0.112,19912,,,
0.112,19894,,,
0.112,19914,,,
0.112,20040,,,
0.112,19998,,,
0.112,19905,,,
0.112,19940,,,
0.112,20024,,,
0.112,19985,,,
0.112,19881,,,
0.112,20076,,,
0.112,19955,,,
0.113,19945,,,
0.113,19908,,,
0.113,19934,,,
0.113,19914,,,
